"","traj","year","month","day","hour","hour.inc","lat","lon","height","date2","date"
"1",1,20,3,1,7,0,18.802,98.968,500,2020-03-01 07:00:00,2020-03-01 07:00:00
"2",1,20,3,1,6,-1,18.718,98.956,541.4,2020-03-01 06:00:00,2020-03-01 07:00:00
"3",1,20,3,1,5,-2,18.651,98.918,659,2020-03-01 05:00:00,2020-03-01 07:00:00
"4",1,20,3,1,4,-3,18.616,98.834,760.8,2020-03-01 04:00:00,2020-03-01 07:00:00
"5",1,20,3,1,3,-4,18.606,98.711,826.4,2020-03-01 03:00:00,2020-03-01 07:00:00
"6",1,20,3,1,2,-5,18.601,98.569,868.1,2020-03-01 02:00:00,2020-03-01 07:00:00
"7",1,20,3,1,1,-6,18.591,98.419,891.1,2020-03-01 01:00:00,2020-03-01 07:00:00
"8",1,20,3,1,0,-7,18.576,98.265,891.1,2020-03-01 00:00:00,2020-03-01 07:00:00
"9",1,20,2,29,23,-8,18.559,98.114,866.7,2020-02-29 23:00:00,2020-03-01 07:00:00
"10",1,20,2,29,22,-9,18.544,97.969,821.3,2020-02-29 22:00:00,2020-03-01 07:00:00
"11",1,20,2,29,21,-10,18.541,97.832,767.4,2020-02-29 21:00:00,2020-03-01 07:00:00
"12",1,20,2,29,20,-11,18.554,97.693,709.5,2020-02-29 20:00:00,2020-03-01 07:00:00
"13",1,20,2,29,19,-12,18.577,97.546,650.5,2020-02-29 19:00:00,2020-03-01 07:00:00
"14",1,20,2,29,18,-13,18.599,97.386,600.1,2020-02-29 18:00:00,2020-03-01 07:00:00
"15",1,20,2,29,17,-14,18.606,97.218,565.2,2020-02-29 17:00:00,2020-03-01 07:00:00
"16",1,20,2,29,16,-15,18.592,97.05,548,2020-02-29 16:00:00,2020-03-01 07:00:00
"17",1,20,2,29,15,-16,18.566,96.874,541.3,2020-02-29 15:00:00,2020-03-01 07:00:00
"18",1,20,2,29,14,-17,18.535,96.694,547.4,2020-02-29 14:00:00,2020-03-01 07:00:00
"19",1,20,2,29,13,-18,18.497,96.517,569.9,2020-02-29 13:00:00,2020-03-01 07:00:00
"20",1,20,2,29,12,-19,18.449,96.343,596.1,2020-02-29 12:00:00,2020-03-01 07:00:00
